Main Part or Subsection?,Number of part or subsection,Full Line of Result,Link to Result
Subsection,60.646,  Monitoring of emissions and operations,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_1646
Subsection,60.663,  Monitoring of emissions and operations,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_1663
Subsection,60.694,"  Permission to use alternative means of emission 
limitation",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_1694
Subsection,60.703,  Monitoring of emissions and operations,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_1703
Subsection,60.716,"  Permission to use alternative means of emission
limitation",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_1716
Subsection,60.734,  Monitoring of emissions and operations,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_1734
Subsection,60.746,"  Permission to use alternative means of emission 
limitation",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_1746
Subsection,60.752,"  Standards for air emissions from municipal solid waste
landfills",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_1752
Subsection,60.1215,  What emission limits must I meet,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11215
Subsection,60.1220,"  What happens to the emission limits during periods 
of startup, shutdown, and malfunction",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11220
Subsection,60.1225,"  What types of continuous emission monitoring must
I perform",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11225
Subsection,60.1230,"  What continuous emission monitoring systems must 
I install for gaseous pollutants",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11230
Subsection,60.1235,"  How are the data from the continuous emission monitoring
systems used",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11235
Subsection,60.1240,"  How do I make sure my continuous emission monitoring
systems are operating correctly",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11240
Subsection,60.1245,"  Am I exempt from any appendix B or appendix F 
requirements to evaluate continuous emission monitoring systems",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11245
Subsection,60.1250,"  What is my schedule for evaluating continuous emission
monitoring systems",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11250
Subsection,60.1260,"  What is the minimum amount of monitoring data I must
collect with my continuous emission monitoring systems and is the
data collection requirement enforceable",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11260
Subsection,60.1275,"  What additional requirements must I meet for the
operation of my continuous emission monitoring systems and continuous
opacity monitoring system",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11275
Subsection,60.1280,"  What must I do if any of my continuous emission 
monitoring systems are temporarily unavailable to meet the data 
collection requirements",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11280
Subsection,60.1445,"  What are the emission limits for air curtain 
incinerators that burn 100 percent yard waste",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11445
Subsection,60.1705,  What emission limits must I meet,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11705
Subsection,60.1710,"  What happens to the emission limits during periods 
of startup, shutdown, and malfunction",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11710
Subsection,60.1715,"  What types of continuous emission monitoring must 
I perform",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11715
Subsection,60.1720,"  What continuous emission monitoring systems must I 
install for gaseous pollutants",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11720
Subsection,60.1725,"  How are the data from the continuous emission monitoring
systems used",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11725
Subsection,60.1730,"  How do I make sure my continuous emission monitoring
systems are operating correctly",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11730
Subsection,60.1735,"  Am I exempt from any appendix B or appendix F requirements
to evaluate continuous emission monitoring systems",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11735
Subsection,60.1740,"  What is my schedule for evaluating continuous emission
monitoring systems",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11740
Subsection,60.1750,"  What is the minimum amount of monitoring data I must 
collect with my continuous emission monitoring systems and is the
data collection requirement  enforceable",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11750
Subsection,60.1765,"  What additional requirements must I meet for the 
operation of my continuous emission monitoring systems and continuous
opacity monitoring system",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11765
Subsection,60.1770,"  What must I do if any of my continuous emission 
monitoring systems are temporarily unavailable to meet the data
collection requirements",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11770
Subsection,60.1920,"  What are the emission limits for air curtain 
incinerators that burn 100 percent yard waste",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_11920
Subsection,60.2105,  What emission limitations must I meet and by when,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12105
Subsection,60.2115,"  What if I do not use a wet scrubber, fabric filter, 
activated carbon injection, selective noncatalytic reduction, an 
electrostatic precipitator, or a dry scrubber to comply with the
emission limitations",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12115
Subsection,60.2120,"  Affirmative defense for violation of emission standards
during malfunction",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12120
Subsection,60.2135,"  How do I demonstrate initial compliance with the
emission limitations and establish the operating limits",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12135
Subsection,60.2145,"  How do I demonstrate continuous compliance with the
emission limitations and the operating limits",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12145
Subsection,60.2215,"  What else must I report if I have a deviation from
the operating limits or the emission limitations",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12215
Subsection,60.2250,"  What are the emission limitations for air curtain 
incinerators",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12250
Subsection,60.2105,  What emission limitations must I meet and by when,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12105
Subsection,60.2115,"  What if I do not use a wet scrubber, fabric filter, 
          activated carbon injection, selective noncatalytic reduction, 
          an electrostatic precipitator, or a dry scrubber to comply 
          with the emission limitations",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12115
Subsection,60.2135,"  How do I demonstrate initial compliance with the emission 
          limitations and establish the operating limits",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12135
Subsection,60.2145,"  How do I demonstrate continuous compliance with the 
          emission limitations and the operating limits",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12145
Subsection,60.2215,"  What else must I report if I have a deviation from the 
          operating limits or the emission limitations",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12215
Subsection,60.2250,"  What are the emission limitations for air curtain 
          incinerators",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12250
Subsection,60.2670,  What emission limitations must I meet and by when,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12670
Subsection,60.2680,"  What if I do not use a wet scrubber, fabric filter,
activated carbon injection, selective noncatalytic reduction, an 
electrostatic precipitator, or a dry scrubber to comply with the
emission limitations",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12680
Subsection,60.2700,"  How do I demonstrate initial compliance with the amended
emission limitations and establish the operating limits",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12700
Subsection,60.2710,"  How do I demonstrate continuous compliance with the 
amended emission limitations and the operating limits",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12710
Subsection,60.2775,"  What else must I report if I have a deviation from 
the operating limits or the emission limitations",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12775
Subsection,60.2860,"  What are the emission limitations for air curtain 
incinerators",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12860
Subsection,60.2915,  What emission limitations must I meet and by when,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12915
Subsection,60.2917,"  What if I do not use a wet scrubber to comply with the
emission limitations",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12917
Subsection,60.2927,"  How do I demonstrate initial compliance with the
emission limitations and establish the operating limits",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12927
Subsection,60.2932,"  How do I demonstrate continuous compliance with the
emission limitations and the operating limits",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12932
Subsection,60.2939,"  What continuous emission monitoring systems must
I install",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12939
Subsection,60.2940,"  How do I make sure my continuous emission monitoring
systems are operating correctly",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12940
Subsection,60.2941,"  What is my schedule for evaluating continuous emission
monitoring systems",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12941
Subsection,60.2942,"  What is the minimum amount of monitoring data I must
collect with my continuous emission monitoring systems, and is the 
data collection  requirement enforceable",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12942
Subsection,60.2957,"  What else must I report if I have a deviation from 
the operating limits or the emission limitations",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12957
Subsection,60.2971,"  What are the emission limitations for air curtain
incinerators that burn only wood waste, clean lumber, and yard waste",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_12971
Subsection,60.3022,  What emission limitations must I meet and by when,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_13022
Subsection,60.3024,"  What if I do not use a wet scrubber to comply with the
emission limitations",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_13024
Subsection,60.3030,"  How do I demonstrate initial compliance with the emission 
limitations and establish the operating limits",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_13030
Subsection,60.3033,"  How do I demonstrate continuous compliance with the 
emission limitations and the operating limits",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_13033
Subsection,60.3038,"  What continuous emission monitoring systems must I 
install",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_13038
Subsection,60.3039,"  How do I make sure my continuous emission monitoring 
systems are operating correctly",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_13039
Subsection,60.3040,"  What is my schedule for evaluating continuous emission 
monitoring systems",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_13040
Subsection,60.3041,"  What is the minimum amount of monitoring data I must
collect with my continuous emission monitoring systems, and is the
data collection  requirement enforceable",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_13041
Subsection,60.3052,"  What else must I report if I have a deviation from
the operating limits or the emission limitations",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_13052
Subsection,60.3066,"  What are the emission limitations for air curtain 
incinerators that burn only wood waste, clean lumber, and yard waste",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_13066
Subsection,60.4201,  What emission standards must I meet for non,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_14201
Subsection,60.4202,"  What emission standards must I meet for emergency
engines if I am a stationary CI internal combustion engine
manufacturer",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_14202
Subsection,60.4203,"  How long must my engines meet the emission standards if
I am a manufacturer of stationary CI internal combustion engines",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_14203
Subsection,60.4204,  What emission standards must I meet for non,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_14204
Subsection,60.4205,"  What emission standards must I meet for emergency 
engines if I am an owner or operator of a stationary CI internal
combustion engine",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_14205
Subsection,60.4206,"  How long must I meet the emission standards if I am
an owner or operator of a stationary CI internal combustion engine",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_14206
Subsection,60.4217,"  What emission standards must I meet if I am an owner or
operator of a stationary internal combustion engine using special 
fuels",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_14217
Subsection,60.4231,"  What emission standards must I meet if I am a 
manufacturer of stationary SI internal combustion engines or
equipment containing such engines",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_14231
Subsection,60.4232,"  How long must my engines meet the emission standards 
if I am a manufacturer of stationary SI internal combustion engines",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_14232
Subsection,60.4233,"  What emission standards must I meet if I am an owner
or operator of a stationary SI internal combustion engine",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_14233
Subsection,60.4234,"  How long must I meet the emission standards if I am an
owner or operator of a stationary SI internal combustion engine",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_14234
Subsection,60.4320,"  What emission limits must I meet for nitrogen oxides
",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_14320
Subsection,60.4325,"  What emission limits must I meet for NOX if my turbine
burns both natural gas and distillate oil ",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_14325
Subsection,60.4330,"  What emission limits must I meet for sulfur dioxide 
",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_14330
Subsection,60.4345,"  What are the requirements for the continuous emission
monitoring system equipment, if I choose to use this option",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_14345
Subsection,60.4350,"  How do I use data from the continuous emission 
monitoring equipment to identify excess emissions",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_14350
Subsection,60.4380,"  How are excess emissions and monitor downtime defined
for NOX",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_14380
Subsection,60.4385,"  How are excess emissions and monitoring downtime defined
for SO",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_14385
